"Numero de département","Numéro agrément/Approval number","SIRET","Raison SOCIALE - Enseigne commerciale/Name","Adresse/Adress","Code postal/Postal code","Commune/Town","Catégorie/Category","Activités associées/Associated activities","Espèce/Specy"
"25","25.271.050","39086156500013","DROZ VINCENT"," 50 AV DE LATTRE","25650","GILLEY","PP","",""
"25","25.271.051","38152803300016","LE TUYE DU PAPY GABY"," LES COTEY","25650","GILLEY","PP","",""
"25","25.318.050","35354807600010","ETS ROBBE ESCARGOTS DES MONTS JURA"," LES TAVINS","25370","JOUGNE","PP","VIII(PP);XI(PP)",""
"25","25.318.50","35354807600010","ETS ROBBE ESCARGOTS DES MONTS JURA"," LES TAVINS","25370","JOUGNE","PP","",""
"25","25.320.050","39091688000029","BOUCHERIE PAILLARD FRERES"," 9 AV DE LA GARE","25160","LABERGEMENT-SAINTE-MARIE","PP","I(CP);V(MP)",""
"25","25.321.027","40888648900025","CHAPUIS SALAISONS DE MORTEAU"," 17 RUE DU SOLEIL COUCHANT","25130","VILLERS-LE-LAC","PP","V(MP)",""
"25","25.346.020","43007599400029","HAUTE LOUE SALAISONS"," RUE DE FOUGERIS","25330","LONGEVILLE","PP","I(CP);V(MP)",""
"25","25.357.050","30235541700023","AUX PRODUITS SAUGETS","CHE FORET MAISONS  DU BOIS 2 ROUTE NATIONALE","25650","MAISONS-DU-BOIS-LIEVREMONT","PP","V(MP)",""
"25","25.361.020","32599423400012","ETABLISSEMENTS PAUL GRESARD"," GRANDE RUE","25160","MALBUISSON","PP","I(CP);V(MP)",""
"25","25.377.020","41309823700014","SAS PATRICK BOUVARD - HERITAGE COMTOIS"," ZONE ARTISANALE EN CHANDIN","25680","MESANDANS","PP","IX(PP);V(MP)",""
"25","25.388.050","40013616400029","CHARCUTERIE GASTRONOMIE F. C. SALAISONS","ZONE VALPARC RUE FREDERIC JAPY","25200","MONTBELIARD","PP","",""
"25","25.411.050","34038397500026","MORTEAU SAUCISSE","RTE DE PONTARLIER RUE DES MOULINOTS","25500","MORTEAU","PP","",""
"25","25.462.020","32679458300020","COOPERATIVE D'ABATTAGE DU HAUT DOUBS"," 3 RUE DES TOURBIERES","25300","PONTARLIER","PP","I(CP);I(SH)",""
"25","25.463.060","53310493100027","MAISON BARBIER","ENTREE A 20 PLACE DU GENERAL DE GAULLE","25150","PONT-DE-ROIDE-VERMONDANS","PP","V(MP)",""
"25","25.580.001","84909755500015","SARL 2B","ZA LES RIVES DU DOUBS 1 RUE DE LA LIBERATION","25700","VALENTIGNEY","PP","VIII(PP);XI(PP)",""
"26","26.057.001","41923918100011","DROME ARDECHE TRADITION","ZONE INDUSTRIELLE ALL DU DAUPHINE","26300","BOURG-DE-PEAGE","PP","V(MP)",""
"26","26.057.031","31182126800076","SAINT JEAN","ZI LES GEORGEONNES","26300","BOURG-DE-PEAGE","PP","",""
