depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
88,88.079.002,82645014000015,SICALEST,"718 RUE DIVISION LECLERC ",88140,BULGNEVILLE,CS,,
88,88.090.045,55200423600170,PATISFRANCE - PURATOS,"ZONE INDUSTRIELLE 7 RTE CHAMAGNE ZONE INDUSTRIELLE ",88130,CHARMES,CS;RW,IX(PP),
88,88.114.004,48330924100014,CONTREX-VITTEL VIANDES,"428 RUE SALABERY ",88140,CONTREXEVILLE,CS,I(CP);II(CP),
88,88.148.014,45346621100019,VIALOR,"300 RUE HAUT DES RANGS ",88200,DOMMARTIN-LES-REMIREMONT,CS,I(CP);II(CP);VI(PP);V(MP),
88,88.155.001,34447746800096,ELIVIA,ZONE FRANCHE AEROPORT SUD LORRAINE RUE DE BOURGOGNE ZONE FRANCHE AEROPORT SUD LORRAINE,88500,DOMVALLIER,CS,I(CP);I(SH),
88,88.158.001,34383830600011,GLACES THIRIET,"ZONE INDUSTRIELLE ",88510,ELOYES,CS,IX(PP),
88,88.160.043,39931561300774,METRO FRANCE,ZAC DE LA ROCHE 19 ALL DES RAPAILLES ZAC DE LA ROCHE,88000,EPINAL,CS,I(CP);VIII(FFPP),
88,88.160.450,41107430500037,NOUVEL'PROGALOR,PARC ECONOMIQUE DU SAUT LE CERF 24 AV ROSE POIRIER PARC ECONOMIQUE DU SAUT LE CERF,88000,EPINAL,CS,I(CP);VI(PP);V(MP),
88,88.181.135,47987576700028,EURO TRADITION,BATIMENT 15 1ER ETAGE 9 RTE DES SECS PRES BATIMENT 15 1ER ETAGE,88230,FRAIZE,CS,,
88,88.209.008,35113928200054,STEF TRANSPORT EPINAL,7 RUE DE LA BALLASTIERE,88190,GOLBEY,CS,,
88,88.319.035,81902263300021,CHEVILLE EST,"ZAE LA PEPINIERE - AUX ENTIERES ",88420,MOYENMOUTIER,CS,I(CP),
88,88.327.001,40249320900033,MICHEL LOGISTIQUE,"ZAC EPINAL NOMEXY ",88440,NOMEXY,WM,,
