etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-67-348-008,67,67348,47,9,0,2.0,2.1,auchan,57.4,0.0,3.0,franchie,False
fr-72-181-005,72,72181,55,5,0,2.0,1.9,charcuterie-cosme,80.0,0.0,1.0,franchie,False
fr-42-129-001,42,42129,53,21,0,2.0,4.6,justin-bridou,15.1,0.0,2.0,franchie,False
fr-44-180-004,44,44180,170,36,0,2.0,2.3,auchan,21.2,0.0,2.0,franchie,False
fr-85-215-003,85,85215,39,16,0,2.0,1.3,inconnue,30.8,0.0,1.0,franchie,False
fr-03-315-001,03,03315,31,13,4,2.0,0.71,leader-price,32.3,0.0,2.0,franchie,False
fr-59-527-001,59,59527,34,12,0,2.0,1.9,jean-caby,50.0,0.0,2.0,franchie,False
fr-41-238-001,41,41238,46,9,5,3.0,0.26,l-etal-du-volailler,56.5,0.0,3.5,franchie,False
fr-56-017-001,56,56017,45,9,0,3.0,1.4,inconnue,37.8,0.0,4.0,franchie,False
fr-01-249-003,01,01249,90,30,4,3.0,2.2,u,22.2,0.0,2.5,franchie,False
fr-22-388-001,22,22388,44,10,0,4.0,2.5,marque-repere,54.5,0.0,5.0,franchie,False
fr-44-072-002,44,44072,65,31,3,4.0,1.4,carrefour,15.4,0.0,4.0,franchie,False
fr-39-198-004,39,39198,39,14,0,4.0,2.0,claviere,43.6,0.0,3.0,franchie,False
fr-42-175-001,42,42175,55,17,0,4.0,3.5,merle,27.3,0.0,3.0,franchie,False
fr-70-093-001,70,70093,30,9,1,4.0,2.2,inconnue,53.3,0.0,3.0,franchie,False
fr-61-096-018,61,61096,35,9,13,4.0,1.3,inconnue,28.6,0.0,5.5,franchie,False
fr-40-281-001,40,40281,31,14,0,4.5,1.4,delpeyrat,32.3,0.0,5.0,franchie,False
fr-39-475-003,39,39475,44,18,0,4.5,1.7,inconnue,22.7,0.0,4.5,franchie,False
fr-65-304-002,65,65304,47,8,0,5.0,1.2,maison-montfort,59.6,0.0,6.0,franchie,False
fr-38-012-001,38,38012,223,39,0,5.5,4.5,aoste,35.0,0.0,1.0,franchie,False
fr-07-338-002,07,07338,30,8,0,5.5,2.4,gueze,40.0,0.0,7.0,franchie,False
fr-01-159-002,01,01159,53,22,0,6.0,1.7,roland-monterrat,18.9,0.0,6.0,franchie,False
fr-85-006-001,85,85006,71,16,0,8.0,3.3,petitgas,40.8,0.0,10.0,franchie,False
fr-56-222-002,56,56222,85,17,71,8.0,2.4,reghalal,31.8,0.0,6.0,franchie,False
fr-56-166-001,56,56166,39,4,38,9.0,2.3,isla-mondial,92.3,0.0,,franchie,False
fr-42-156-006,42,42156,53,5,52,12.0,3.4,isla-delice,92.5,0.0,,franchie,False
fr-11-262-047,11,11262,97,29,0,13.0,4.7,montagne-noire,19.6,0.0,12.5,franchie,False
fr-40-261-001,40,40261,34,9,0,13.0,2.7,labeyrie,35.3,0.0,13.0,franchie,False
fr-65-100-003,65,65100,58,23,0,15.0,5.0,carrefour,37.9,0.0,14.5,franchie,False
fr-64-010-003,64,64010,31,15,0,15.0,4.9,carrefour,19.4,0.0,15.0,franchie,False
