etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-53-107-002,53,53107,17,2,0,0.0,1.6,inconnue,82.4,0.0,,sous 30,False
fr-38-051-001,38,38051,46,12,0,0.0,0.22,carrefour,23.9,0.0,-1.0,franchie,False
fr-64-139-002,64,64139,13,2,0,0.0,1.35,le-vieux-chene,92.3,0.0,,sous 30,False
fr-69-238-010,69,69238,69,24,0,0.0,4.3,carrefour,39.1,0.0,0.0,franchie,False
fr-43-262-001,43,43262,48,5,0,0.0,5.0,inconnue,77.1,0.0,0.0,franchie,False
fr-35-004-002,35,35004,30,8,0,0.0,1.3,brient,33.3,0.0,-0.5,franchie,False
fr-35-360-005,35,35360,51,6,0,0.0,1.0,jean-roze,51.0,0.0,1.0,franchie,False
fr-35-162-009,35,35162,40,8,0,0.0,1.9,biocoop,77.5,0.0,,franchie,False
fr-01-336-001,01,01336,29,14,1,0.0,4.4,inconnue,24.1,0.0,1.0,sous 30,False
fr-01-451-003,01,01451,13,4,0,0.0,0.68,marie,61.5,0.0,,sous 30,False
fr-02-617-001,02,02617,72,20,0,0.0,0.83,panzani,26.4,0.0,0.0,franchie,False
fr-35-152-002,35,35152,29,4,0,0.0,1.6,clermont,48.3,0.0,0.0,sous 30,False
fr-47-091-011,47,47091,50,11,0,0.0,0.84,lechef,44.0,0.0,0.0,franchie,False
fr-50-127-004,50,50127,11,2,0,0.0,1.57,les-charcuteries-de-la-trappe,63.6,0.0,,sous 30,False
fr-50-074-001,50,50074,19,8,0,0.0,1.55,les-marmites-d-augustine,31.6,0.0,0.0,sous 30,False
fr-67-180-007,67,67180,12,3,0,0.0,2.3,zentz,75.0,0.0,,sous 30,False
fr-62-767-005,62,62767,131,3,0,0.0,1.93,herta,72.5,0.0,0.0,franchie,False
fr-63-427-001,63,63427,58,26,0,0.0,4.6,carrefour,17.2,0.0,0.0,franchie,False
fr-47-323-329,47,47323,35,12,0,0.0,0.87,inconnue,20.0,0.0,0.0,franchie,False
fr-66-172-001,66,66172,51,4,0,0.0,1.9,inconnue,51.0,0.0,0.0,franchie,False
fr-14-752-020,14,14752,273,44,0,0.0,2.0,inconnue,29.3,0.0,-1.0,franchie,False
