fichier,url,candidat_viande
SPA5_AUTEXPORECHE.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTEXPORECHE.txt,False
SPA5_AUTNECROPHAG.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTNECROPHAG.txt,False
SPA5_AUTREPRAPACE.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTREPRAPACE.txt,False
SPA5_AUTZOO.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTZOO.txt,False
SPA5_ENRAPICULTUR.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRAPICULTUR.txt,False
SPA5_ENRAUTREMAAF.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRAUTREMAAF.txt,False
SPA5_ENRAUTROPERA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRAUTROPERA.txt,False
SPA5_ENRCOSMETIQ.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRCOSMETIQ.txt,False
SPA5_ENRCUIRTANNA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRCUIRTANNA.txt,False
SPA5_ENRETABMATAU.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRETABMATAU.txt,False
SPA5_ENRLAICOLOST.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRLAICOLOST.txt,False
SPA5_ENRLAINPOILP.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRLAINPOILP.txt,False
SPA5_ENRMEDHUMAIN.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRMEDHUMAIN.txt,False
SPA5_ENRMEDICACTI.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRMEDICACTI.txt,False
SPA5_ENRMEDICAUX.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRMEDICAUX.txt,False
SPA5_ENRMEDICVITR.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRMEDICVITR.txt,False
SPA5_ENRNEGOCIANT.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRNEGOCIANT.txt,False
SPA5_ENROSCORNSAB.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENROSCORNSAB.txt,False
