agrement,nom,n_noms,commune,cp,n_siret,listes
14.712.065,TRANSPORTS JEAN MARIE HAMEL,1,TROARN,14670,1,1
14.733.036,CLOS SAINT PHILIPPE,1,VAUX-SUR-SEULLES,14400,1,3
14.738.042,CAP OCEAN,1,VERSON,14790,1,1
14.738.065,STEF TRANSPORT CAEN,1,VERSON,14790,1,1
14.752.010,ELIVIA,1,VILLERS-BOCAGE,14310,1,5
14.752.020,BROCELIANDE - ALH / COOPERL SALAISONS,2,VILLERS-BOCAGE,14310,1,2
14.752.065,SOFRILOG,1,VILLERS-BOCAGE,14310,1,1
14.752.067,DEGRENNE DISTRIBUTION,1,VILLERS-BOCAGE,14310,1,1
14.752.363,INSTITUT DE L'ELEVAGE,1,VILLERS-BOCAGE,14310,1,1
14.762.023,ANDOUILLE ASSELOT,1,VIRE-NORMANDIE,14500,1,1
14.762.025,RUAULT THOMAS - LES TRIPES VIROISES,1,VIRE-NORMANDIE,14500,1,1
14.762.026,AMAND,1,VIRE-NORMANDIE,14500,1,1
14.762.028,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE VIRE - EXPLOITATION AGRICOLE DE VIRE,1,VIRE-NORMANDIE,14500,1,1
14.762.056,STEF LOGISTIQUE NORMANDIE - STEF,1,VIRE NORMANDIE,14500,1,1
14.762.065,SOFRILOG,1,VIRE NORMANDIE,14500,1,1
14.762.067,STEF TRANSPORT VIRE,1,VIRE NORMANDIE,14500,1,1
14.762.102,MESSAGERIES LAITIERES,1,VIRE NORMANDIE,14500,1,1
14.762.106,ALLIANCE DES VIANDES DE FRANCE,1,VIRE NORMANDIE,14500,1,4
15.012.005,SCEA CALDAYROUX,1,ARPAJON-SUR-CERE,15130,1,1
15.014.006,ENIL LYCEE AGRICOLE / LYCEE AGRICOLE GEORGES POMPIDOU - ENIL LYCEE AGRICOLE,2,AURILLAC,15000,1,4
15.014.024,ATELIER DU BOUCHER,1,AURILLAC,15000,1,1
15.014.032,COVIAL,1,AURILLAC,15000,1,4
15.014.033,L'ESCARGOT COURBEYRE,1,AURILLAC,15000,1,1
15.014.038,SA TEIL,1,AURILLAC,15000,1,3
15.014.039,CINQ GROS - PROMOCASH AVEC VOUS,1,AURILLAC,15000,1,1
15.014.042,SAS DISCAN,1,AURILLAC,15000,1,1
15.014.045,KRILL,1,AURILLAC,15000,1,1
15.014.047,OLANO LADOUX,1,AURILLAC,15000,1,1
15.014.126,INSTITUT FORMATION PROFESSION PERMANEN / INSTITUT FORMATION PROFESSION PERMANENTE,2,AURILLAC,15000,1,2
15.014.303,BONAL JEAN,1,AURILLAC,15000,1,1
15.014.517,MOPALAIT S.A FROMAGERIE MORIN - MOPALAIT,1,AURILLAC,15000,1,1
15.016.002,LES VOLAILLES D'ALICE,1,AYRENS,15250,1,1
15.019.011,SAS FERME DE BASSIGNAC,1,BASSIGNAC,15240,1,1
