produit,espece,bras,n,mediane,regle_30,ecart_vs_temoin,ic95_bas,ic95_haut,testable
saucisse_volaille,poulet,temoin,132,14.0,franchie,,,,
saucisse_volaille,volaille_autre,halal,71,13.7,franchie,-4.3,-5.7,-2.0,True
saucisse_volaille,volaille_autre,kasher,7,11.0,sous 30,,,,
saucisse_volaille,volaille_autre,temoin,317,18.0,franchie,,,,
saucisson_sec,boeuf,halal,10,23.85,sous 30,-7.15,-16.0,-0.9,False
saucisson_sec,boeuf,kasher,2,21.55,sous 30,,,,
saucisson_sec,boeuf,temoin,16,31.0,sous 30,,,,
saucisson_sec,canard,temoin,1,27.0,sous 30,,,,
saucisson_sec,cheval,temoin,2,13.38,sous 30,,,,
saucisson_sec,dinde,halal,39,20.9,franchie,-0.1,-3.0,4.0,False
saucisson_sec,dinde,kasher,2,17.0,sous 30,,,,
saucisson_sec,dinde,temoin,18,21.0,sous 30,,,,
saucisson_sec,indetermine,halal,112,20.25,franchie,-5.75,-7.9,-3.5,True
saucisson_sec,indetermine,kasher,9,28.0,sous 30,,,,
saucisson_sec,indetermine,temoin,4214,26.0,franchie,,,,
saucisson_sec,porc,halal,17,19.7,sous 30,-6.3,-14.0,1.0,False
saucisson_sec,porc,temoin,906,26.0,franchie,,,,
saucisson_sec,poulet,halal,5,11.2,sous 30,,,,
saucisson_sec,poulet,temoin,3,31.0,sous 30,,,,
saucisson_sec,veau,temoin,1,11.0,sous 30,,,,
saucisson_sec,volaille_autre,halal,4,11.85,sous 30,,,,
saucisson_sec,volaille_autre,temoin,20,26.0,sous 30,,,,
steak_hache,agneau,halal,1,13.0,sous 30,,,,
steak_hache,agneau,temoin,2,18.1,sous 30,,,,
steak_hache,boeuf,halal,111,18.0,franchie,-1.0,-1.0,-1.0,True
steak_hache,boeuf,kasher,8,16.5,sous 30,,,,
steak_hache,boeuf,temoin,1072,19.0,franchie,,,,
steak_hache,cheval,temoin,1,22.1,sous 30,,,,
steak_hache,dinde,temoin,1,17.0,sous 30,,,,
steak_hache,indetermine,halal,2,15.5,sous 30,,,,
steak_hache,indetermine,kasher,2,14.2,sous 30,,,,
steak_hache,indetermine,temoin,135,15.0,franchie,,,,
steak_hache,porc,temoin,39,16.0,franchie,,,,
steak_hache,poulet,halal,1,12.0,sous 30,,,,
steak_hache,poulet,temoin,9,17.0,sous 30,,,,
steak_hache,veau,halal,1,17.0,sous 30,,,,
steak_hache,veau,temoin,9,17.5,sous 30,,,,
