code,nom,marque,produit,espece,bras,ns,grade,sel,proteines,regle
0217966022247,Aiguillettes de poulet grillé,,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966022377,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966023022,Aiguillettes de poulet grillée,,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966023817,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966023886,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966024074,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966024661,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,0.0,a,1.4,23.0,decoupe_crue
0217966024739,Aiguillettes de poulet grillé,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966029062,Aiguillettes de poulet,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0217966031225,Aiguillettes de poulet Grillé,,blanc_de_poulet,poulet,temoin,1.0,b,1.5,25.0,decoupe_crue
0227081022961,Les milanaises du chef,Père Dodu,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,20.0,decoupe_crue
0266494033652,Filet de poulet roti,Grand Frais,blanc_de_poulet,poulet,temoin,0.0,a,1.1,26.0,decoupe_crue
0266494037520,2 filets de poulet,,blanc_de_poulet,poulet,temoin,0.0,a,1.1,26.0,decoupe_crue
0011110640505,Oven roasted turkey breast,Simple Truth Organic,blanc_de_poulet,dinde,temoin,1.0,b,1.3,16.0,decoupe_crue
20346553,Escalope de dinde ail poivre,,blanc_de_poulet,dinde,temoin,3.0,c,1.96,20.1,decoupe_crue
2111851003305,Blanc de dinde grillé,Coop,blanc_de_poulet,dinde,temoin,2.0,b,1.8,21.0,decoupe_crue
2111851003350,Blanc de dinde,Coop,blanc_de_poulet,dinde,temoin,2.0,b,1.8,21.0,decoupe_crue
2112361003106,Blanc de dinde pauvre en graisses,Coop,blanc_de_poulet,dinde,temoin,2.0,b,1.7999999523163,21.0,decoupe_crue
2112362004102,Blanc de dinde,,blanc_de_poulet,dinde,temoin,11.0,d,2.2,19.0,decoupe_crue
2112362004201,Blanc dinde aux epices,Coop,blanc_de_poulet,dinde,temoin,11.0,d,2.2,19.0,decoupe_crue
2112362004355,Blanc de dinde,Qualité & Prix,blanc_de_poulet,dinde,temoin,11.0,d,2.2,19.0,decoupe_crue
2200606027946,Filets Rôtis de poulet,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2200606030830,Filets rotis de poulet,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2200606037655,Filets rôtis de poulet,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2200606038645,Filets de poulet rôtis,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2200606039031,Filets rotis de poulet chaud froid,,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2200606039369,Filets de poulet rotis,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1000000238419,25.0,decoupe_crue
2200606044011,Filets roti de poulet,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2200606054713,Filets rôti de poulet,Monoprix,blanc_de_poulet,poulet,temoin,0.0,a,1.1,25.0,decoupe_crue
2205618003230,Filet de poulet,Delhaize,blanc_de_poulet,poulet,temoin,1.0,b,1.2000000476837,22.0,decoupe_crue
2205620002894,Filet de poulet aux herbes,,blanc_de_poulet,poulet,temoin,8.0,c,1.6000000238419,1.2000000476837,decoupe_crue
2205621003258,Filet de poulet Curry,Delhaize,blanc_de_poulet,poulet,temoin,1.0,b,1.3999999761581,18.0,decoupe_crue
2216361033856,Escalope de dinde,,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,23.0,decoupe_crue
2216361037786,Escalopes de dinde,,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,23.0,decoupe_crue
2216361041653,Escalope de dinde,,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,23.0,decoupe_crue
2216361043954,Escalope dinde  -  l'extra tendre,Le Gaulois,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,23.0,decoupe_crue
2216361050976,Escalope de dinde l'extra tendre,Le Gaulois,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,23.0,decoupe_crue
2232752028072,Poêlée de filet de poulet Tikka curry,Les prêts à cuisiner du volailler,blanc_de_poulet,poulet,temoin,-1.0,a,1.1,22.0,decoupe_crue
2334855010333,Aiguillettes de poulet crue thym/citron sous ATM,,blanc_de_poulet,poulet,temoin,2.0,b,1.7,19.0,decoupe_crue
2381822018724,Aiguillettes de poulet roties,,blanc_de_poulet,poulet,temoin,0.0,a,1.4,25.0,decoupe_crue
2225025027162,Filet et cuisse de poulet rôti,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.0,decoupe_crue
2225025031886,Filet de cuisse de poulet roti,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.0,decoupe_crue
2225025043568,Filets de poulet rôti,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.0,decoupe_crue
2278954024665,Aiguillette de poulet tandoori,GIFFAUD,blanc_de_poulet,poulet,temoin,3.0,c,1.5,25.0,decoupe_crue
2463498031228,Filet de poulet rôti,,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2463498032218,Filet de poulet rôti,,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2463498034045,filet de poulet rôti halal,,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2463498034243,Filets de poulet Rôti,Réghalal,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2463498034441,Filets de poulet rôti,,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2463498035035,Filet de poulet rôti,,blanc_de_poulet,poulet,temoin,0.0,a,1.2,22.0,decoupe_crue
2463498036865,Filet de poulet rôti,,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2463498041784,Filets de poulet rôti,Réghalal,blanc_de_poulet,poulet,halal,2.0,b,1.7,22.0,decoupe_crue
2463498044150,Filet de poulet rôti avec peau,Réghalal,blanc_de_poulet,poulet,temoin,0.0,a,1.2,22.0,decoupe_crue
2463498049599,Filet de poulet roti,,blanc_de_poulet,poulet,halal,0.0,a,1.2,22.0,decoupe_crue
2434855045721,Aiguillette de poulet au Thym et saveur citron,,blanc_de_poulet,poulet,temoin,-1.0,a,1.18,21.4,decoupe_crue
2434855060748,Aiguillettes de Poulet Crues Marinées Thym-Citron,,blanc_de_poulet,poulet,temoin,-1.0,a,1.19,21.0,decoupe_crue
2434873072617,Filets de poulet marinés tomate origan,Saveur d'été,blanc_de_poulet,poulet,temoin,1.0,b,1.6,21.3,decoupe_crue
2480857042572,Le filet de poulet a la comtoise,,blanc_de_poulet,poulet,temoin,11.0,d,1.9,23.0,decoupe_crue
2485953065531,"Aiguillettes de poulet, crue, mariné, saveurs, tomates, origan",Saveurs d'été,blanc_de_poulet,poulet,temoin,3.0,c,2.0,20.0,decoupe_crue
2485953066453,Aiguillettes de poulet marinees saveur tomates origan,,blanc_de_poulet,poulet,temoin,3.0,c,2.0,20.0,decoupe_crue
2486765026048,Blanc de dinde,,blanc_de_poulet,dinde,temoin,12.0,d,2.2699999809265,19.5,decoupe_crue
26011981,Filets de poulet rotis,CLÉMENT LE VOLAILLER,blanc_de_poulet,poulet,temoin,1.0,b,1.2999999523163,24.0,decoupe_crue
27067048,Filet De Poulet Pane,,blanc_de_poulet,poulet,temoin,5.0,c,1.2,13.0,decoupe_crue
27068403,Filet de poulet nature,,blanc_de_poulet,poulet,temoin,1.0,b,1.6,22.0,decoupe_crue
27081648,Gebratene Hähnchenbrustfiletstücke,DELIFIN,blanc_de_poulet,poulet,temoin,3.0,c,2.0,23.0,decoupe_crue
29130627,Filet de poulet doré au four,,blanc_de_poulet,poulet,temoin,3.0,c,1.84,22.5,decoupe_crue
