rang,rang_min,rang_max,marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal,profil
118,46,301,bordeau-chesnel,64,0.0,-0.5,0.0,franchie,8,non,hors bras halal
119,22,373,boucheries-andre,21,0.0,-1.0,2.0,sous 30,10,non,hors bras halal
120,22,373,bonneterre,42,0.0,-1.0,2.0,franchie,10,non,hors bras halal
121,46,346,toupargel,127,0.0,0.0,1.0,franchie,26,oui,gamme halal marginale (< 5 produits)
122,10,373,casa-modena,29,0.0,-4.0,2.0,sous 30,7,non,hors bras halal
123,46,301,casino,630,0.0,0.0,0.0,franchie,40,oui,gamme halal marginale (< 5 produits)
124,22,301,cesar-moroni,30,0.0,-1.5,0.0,franchie,6,non,hors bras halal
125,15,306,cmi-carrefour-marchandises-internationales,30,0.0,-2.5,0.5,franchie,15,non,hors bras halal
126,22,385,citterio,97,0.0,-1.0,4.0,franchie,10,non,hors bras halal
127,22,301,claude-leger,34,0.0,-1.0,0.0,franchie,9,non,hors bras halal
128,22,346,comte-de-la-seynie,26,0.0,-1.0,1.0,sous 30,11,non,hors bras halal
129,46,346,belle-france,248,0.0,0.0,1.0,franchie,34,non,hors bras halal
130,15,373,volaille-francaise,19,0.0,-2.0,2.0,sous 30,6,oui,gamme halal marginale (< 5 produits)
131,46,346,aldi,191,0.0,0.0,1.0,franchie,34,oui,gamme halal marginale (< 5 produits)
132,22,373,la-vie-claire,60,0.0,-1.0,2.0,franchie,24,non,hors bras halal
133,22,346,rochambeau,80,0.0,-1.0,1.0,franchie,22,non,hors bras halal
134,15,346,larroque,15,0.0,-2.0,1.0,sous 30,8,non,hors bras halal
135,15,373,nous-anti-gaspi,15,0.0,-2.0,2.0,sous 30,9,oui,gamme halal marginale (< 5 produits)
136,46,301,pere-dodu,313,0.0,0.0,0.0,franchie,14,non,hors bras halal
137,46,346,intermarche,165,0.0,0.0,1.0,franchie,31,non,hors bras halal
138,22,301,jean-roze,233,0.0,-1.0,0.0,franchie,16,non,hors bras halal
139,22,346,royal-halal,29,0.0,-1.0,1.0,sous 30,8,oui,specialiste halal
140,22,306,royal-bernard,98,0.0,-1.0,0.5,franchie,12,oui,gamme halal marginale (< 5 produits)
141,22,346,kerets,29,0.0,-1.0,1.0,sous 30,10,non,hors bras halal
142,46,301,l-etal-du-volailler,664,0.0,-0.5,0.0,franchie,13,non,hors bras halal
143,22,346,la-belle-chaurienne,117,0.0,-1.0,1.0,franchie,18,non,hors bras halal
144,46,301,carrefour,1349,0.0,0.0,0.0,franchie,50,oui,gamme halal minoritaire
145,11,346,knorr,19,0.0,-3.0,1.0,sous 30,11,non,hors bras halal
146,15,346,pays-gourmand,33,0.0,-2.0,1.0,franchie,16,non,hors bras halal
147,11,397,revilla,17,0.0,-3.0,12.0,sous 30,3,non,hors bras halal
148,15,346,relais-gourmand,23,0.0,-2.0,1.0,sous 30,12,non,hors bras halal
149,15,346,le-vieux-chene,47,0.0,-2.0,1.0,franchie,13,non,hors bras halal
150,22,373,le-volvestre,22,0.0,-1.0,2.0,sous 30,8,non,hors bras halal
151,22,373,le-manoir-alexandre,31,0.0,-1.0,2.0,franchie,11,non,hors bras halal
152,46,346,le-gaulois,2727,0.0,0.0,1.0,franchie,23,non,hors bras halal
153,22,346,le-choix-du-charcutier,26,0.0,-1.0,1.0,sous 30,7,non,hors bras halal
154,11,382,le-pere-jean,21,0.0,-3.0,3.0,sous 30,9,non,hors bras halal
155,15,382,le-petit-cuisinier,24,0.0,-2.0,3.0,sous 30,8,non,hors bras halal
156,22,346,mix-buffet,52,0.0,-1.0,1.0,franchie,7,non,hors bras halal
157,15,346,le-marsigny,46,0.0,-2.0,1.0,franchie,14,non,hors bras halal
158,15,346,e-leclerc,37,0.0,-2.0,1.0,franchie,16,non,hors bras halal
159,46,301,lidl,420,0.0,0.0,0.0,franchie,39,oui,gamme halal minoritaire
160,22,346,les-bories,65,0.0,-1.0,1.0,franchie,16,non,hors bras halal
161,22,373,lionor,18,0.0,-1.5,2.5,sous 30,5,oui,gamme halal marginale (< 5 produits)
162,22,301,findus,37,0.0,-1.0,0.0,franchie,11,non,hors bras halal
163,22,349,fiorini,28,0.0,-1.0,1.5,sous 30,4,non,hors bras halal
164,46,346,franprix,142,0.0,0.0,1.0,franchie,24,non,hors bras halal
165,11,395,fumagalli,15,0.0,-3.0,11.0,sous 30,6,non,hors bras halal
166,46,349,dulano,130,0.0,-0.5,1.5,franchie,18,non,hors bras halal
167,22,373,les-saveurs-de-bourdette,27,0.0,-1.0,2.0,sous 30,10,non,hors bras halal
168,11,346,elpozo,69,0.0,-3.0,1.0,franchie,11,non,hors bras halal
169,15,301,groupe-casino,15,0.0,-2.0,0.0,sous 30,10,non,hors bras halal
170,46,301,porc-de-l-aveyron,26,0.0,0.0,0.0,sous 30,2,non,hors bras halal
171,22,301,garbit,32,0.0,-1.0,0.0,franchie,4,non,hors bras halal
172,46,373,ferial,47,0.0,0.0,2.0,franchie,11,non,hors bras halal
173,22,373,iglo,20,0.0,-1.0,2.0,sous 30,7,oui,gamme halal marginale (< 5 produits)
174,15,373,pierre-martinet,19,0.0,-2.0,2.0,sous 30,4,non,hors bras halal
175,46,346,netto,246,0.0,0.0,1.0,franchie,32,oui,gamme halal marginale (< 5 produits)
176,15,382,nature-bio,17,0.0,-2.0,3.0,sous 30,9,non,hors bras halal
177,22,306,panache-des-landes,22,0.0,-1.0,0.5,sous 30,4,non,hors bras halal
178,11,382,madern,15,0.0,-3.0,3.0,sous 30,5,non,hors bras halal
179,22,301,marie,112,0.0,-1.0,0.0,franchie,10,non,hors bras halal
180,46,301,maitre-coq,1039,0.0,0.0,0.0,franchie,19,oui,gamme halal marginale (< 5 produits)
181,15,349,metro,30,0.0,-2.0,1.5,franchie,14,non,hors bras halal
182,22,301,maison-riviere,88,0.0,-1.0,0.0,franchie,18,non,hors bras halal
183,22,382,migros,42,0.0,-1.0,3.5,franchie,17,non,hors bras halal
184,46,301,auchan,1122,0.0,0.0,0.0,franchie,45,non,hors bras halal
185,46,301,marque-repere,754,0.0,0.0,0.0,franchie,44,oui,gamme halal marginale (< 5 produits)
186,46,301,monoprix,466,0.0,0.0,0.0,franchie,40,non,hors bras halal
