etablissement,n_produits,n_marques,n_halal,n_temoin
fr-25-411-050,14,7,0,14
fr-62-865-007,36,7,0,37
fr-24-381-001,25,7,0,25
fr-84-029-002,19,7,0,21
de-by-50008,10,7,0,10
fr-80-799-001,53,7,0,53
fr-77-053-006,20,7,0,20
fr-79-329-014,10,7,0,10
fr-73-215-001,63,7,0,63
fr-83-054-001,17,7,0,17
it-1550-l,12,7,0,12
it-335-l,13,7,0,15
it-302-l,58,7,0,58
fr-89-029-002,17,7,0,17
fr-35-004-002,30,7,0,30
fr-35-162-009,40,7,0,40
fr-32-079-030,16,7,0,16
fr-72-090-011,13,7,0,15
fr-40-020-002,12,7,0,12
fr-07-338-002,30,7,0,30
fr-62-194-002,12,7,0,12
fr-12-056-001,15,7,0,15
fr-56-078-001,14,7,1,13
fr-26-347-022,62,7,0,63
fr-12-052-009,28,7,0,28
fr-12-063-028,20,7,0,20
fr-14-762-026,20,7,0,20
fr-56-069-005,19,7,0,19
fr-50-074-001,19,7,0,19
fr-19-031-008,32,7,0,45
fr-71-004-001,10,7,0,10
fr-44-079-002,19,7,0,20
fr-71-076-001,34,7,0,34
fr-72-090-007,44,7,0,44
es-10-01865-ge,11,7,5,6
fr-72-132-002,29,7,0,34
fr-14-738-042,13,6,0,13
fr-85-182-007,11,6,0,11
de-ni-10046,12,6,11,1
fr-67-127-001,22,6,0,22
fr-46-128-002,16,6,0,17
it-272-l,12,6,0,12
fr-81-124-012,44,6,0,44
it-892-l,13,6,0,13
fr-72-054-002,31,6,0,31
fr-18-159-001,21,6,0,21
fr-29-046-500,14,6,0,14
fr-42-094-002,15,6,0,15
fr-22-182-005,11,6,1,10
fr-08-048-002,11,6,0,11
fr-44-003-002,12,6,0,12
fr-85-154-001,18,5,3,15
be-b912,37,5,2,36
fr-87-085-006,13,5,0,13
fr-03-236-001,25,5,0,25
es-10-01699-ge,16,5,0,16
fr-56-225-001,44,5,0,44
it-h360t,20,5,0,20
fr-01-224-001,27,5,0,28
fr-77-208-001,12,5,0,12
fr-36-231-017,12,5,0,12
fr-32-147-024,24,5,0,24
fr-29-174-020,19,5,0,21
fr-44-026-009,16,5,0,16
fr-69-238-001,13,5,0,13
fr-35-360-005,51,5,0,51
fr-35-068-002,28,5,1,27
fr-37-276-031,19,5,0,19
fr-28-027-005,68,5,0,68
fr-42-156-006,53,5,53,1
fr-14-762-106,14,5,0,14
fr-49-239-001,41,5,0,41
fr-26-088-011,15,5,2,13
fr-24-053-001,32,5,2,30
fr-67-008-001,11,5,0,11
fr-46-102-004,14,5,0,16
fr-59-526-002,14,5,0,14
fr-60-341-011,23,5,0,23
de-ni-11021,12,4,0,12
de-ni-11790,10,4,9,1
de-nw-ev-221,12,4,11,1
fr-03-094-007,18,4,0,18
fr-57-463-001,37,4,0,37
fr-01-451-003,13,4,0,13
it-955-l,26,4,0,26
it-607-l,16,4,0,16
fr-29-039-512,15,4,0,15
fr-81-124-068,18,4,0,18
fr-80-798-003,110,4,0,110
fr-85-164-001,11,4,0,11
fr-12-063-026,12,4,0,12
fr-12-301-002,26,4,0,26
fr-85-182-003,256,4,0,256
fr-32-132-023,12,4,0,12
fr-73-065-717,20,4,0,20
fr-72-181-005,58,4,0,58
fr-69-204-003,12,4,0,12
fr-69-028-001,25,4,0,25
fr-53-048-002,10,4,1,9
fr-56-081-001,20,4,1,19
fr-56-017-002,24,4,7,17
fr-54-265-024,21,4,0,21
fr-43-262-001,48,4,0,48
fr-41-053-002,12,4,10,2
fr-47-326-015,33,4,0,33
fr-68-166-001,25,4,0,25
fr-64-161-002,12,4,0,12
fr-67-084-002,11,4,0,11
fr-47-032-001,13,4,0,13
fr-62-907-002,45,4,0,45
fr-59-526-101,12,4,0,12
fr-59-597-001,50,4,0,50
fr-59-183-003,10,4,0,10
fr-58-079-005,18,4,0,18
fr-2b-332-001,15,4,0,19
fr-18-033-033,11,4,1,10
fr-19-031-003,13,4,0,13
fr-21-295-001,11,4,0,11
fr-21-464-002,10,4,0,10
it-x6n4x,12,4,0,12
fr-88-218-001,12,4,12,0
fr-35-136-002,18,4,0,18
fr-80-025-001,16,4,0,16
fr-79-329-004,93,4,0,93
fr-74-042-001,16,4,5,11
fr-10-362-003,13,3,0,13
fr-35-152-002,29,3,0,29
fr-22-067-001,11,3,0,11
fr-19-275-008,10,3,0,10
fr-25-346-020,12,3,0,12
it-0-4-m,12,3,3,10
fr-07-259-002,14,3,0,14
fr-05-092-001,20,3,0,20
it-1253-l,10,3,3,10
it-701-l,11,3,0,11
fr-56-166-001,40,3,39,1
it-648-l,11,3,0,11
fr-97-416-003,14,3,0,16
fr-04-112-004,10,3,0,10
es-26-00322-cc,26,3,0,26
fr-07-204-003,12,3,0,12
it-754-l,12,3,0,12
fr-24-034-001,17,3,0,17
fr-30-233-001,14,3,0,14
fr-25-493-050,14,3,0,14
it-1482-l,31,3,0,31
uk-in003,13,3,0,13
fr-38-449-003,22,3,0,22
fr-35-223-002,17,3,0,17
fr-76-681-001,11,3,0,11
fr-81-003-003,19,3,0,19
fr-31-091-010,11,3,0,11
fr-72-168-001,27,3,0,27
fr-69-201-002,16,3,0,16
