label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
en:no-dyes-or-preservatives,65,1.0,0.593,2.0,16,0.0,oui
en:nutriscore-grade-e,700,1.0,0.55,1.0,28,0.9,oui
en:nutriscore-experiment-grade-b,46,1.25,0.129,1.9,8,0.0,oui
de:eg-öko-verordnung,30,1.25,-0.5,4.0,11,0.0,non
fr:info-tri-point-vert,186,1.25,0.849,1.715,28,1.1,oui
fr:afdiag,37,1.329,-0.0,1.8,8,0.0,non
en:no-palm-oil,561,1.429,1.071,1.8,32,8.0,oui
en:no-artificial-colors,82,1.5,1.05,2.2,24,7.3,oui
en:qs-certification-mark,131,1.5,1.0,2.0,23,0.0,oui
fr:controle-de-la-mosquee-d-evry-courcouronnes,216,2.0,1.25,3.0,38,100.0,oui
en:halal,1927,2.0,1.7,2.0,49,100.0,oui
fr:la-lorraine-notre-signature,80,2.0,1.0,2.6,10,0.0,oui
fr:a-votre-service,143,2.1,1.8,2.6,25,100.0,oui
fr:aucun,33,2.3,-0.0,3.0,15,3.0,non
en:no-added-sugar,33,2.7,1.0,3.8,9,0.0,oui
fr:savourez-l-alsace,98,2.85,2.0,3.0,18,0.0,oui
en:french-duck,188,2.9,1.9,2.9,11,0.0,oui
en:kosher,155,3.9,3.0,4.0,36,1.9,oui
fr:association-rituelle-de-la-grande-mosquee-de-lyon,157,4.2,3.8,4.9,30,100.0,oui
fr:saucisson-a-l-ail,83,9.3,8.3,9.9,2,0.0,oui
