etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-22-136-007,BROCELIANDE - ALH / COOPERL SALAISONS,LOUDEAC,22,48,13,0,0.0,2.0,carrefour,33.3,32,0.0,True
fr-22-364-008,KERMENE,TRELIVAN,22,63,12,0,0.0,1.2,marque-repere,47.6,33,0.0,False
fr-25-357-050,AUX PRODUITS SAUGETS / AUX PRODUITS SAUGETS SARL,MAISONS-DU-BOIS-LIEVREMONT,25,33,3,0,0.0,1.76,inconnue,90.9,3,,True
fr-29-020-020,MARIE,BRIEC,29,36,12,0,0.0,0.67,marie,44.4,20,0.0,False
fr-35-004-002,BRIENT,VAL-COUESNON,35,30,8,0,0.0,1.3,brient,33.3,20,-0.5,False
fr-35-162-009,SALAISON BIO VALEUR / SOCIETE BIGNON VIANDES,LOUVIGNE-DU-DESERT,35,40,8,0,0.0,1.9,biocoop,77.5,9,,True
fr-35-360-005,SOCIETE VITREENNE D'ABATTAGE,VITRE,35,51,6,0,0.0,1.0,jean-roze,51.0,25,1.0,False
fr-38-051-001,ELIVIA,BOUGE-CHAMBALUD,38,46,12,0,0.0,0.22,carrefour,23.9,35,-1.0,False
fr-43-262-001,SALAISONS PHILIS,VIEILLE-BRIOUDE,43,48,5,0,0.0,5.0,inconnue,77.1,11,0.0,False
fr-47-091-011,LECHEF,ESTILLAC,47,50,11,0,0.0,0.84,lechef,44.0,28,0.0,False
fr-47-323-329,LOU TRAITEUR - BARRAL TRAITEUR DU SUD OUEST,VILLENEUVE-SUR-LOT,47,35,12,0,0.0,0.87,inconnue,20.0,28,0.0,False
fr-56-109-001,PROCANAR,LAUZACH,56,45,8,0,0.0,0.13,inconnue,40.0,27,0.0,False
fr-56-225-001,KERMENE,SAINT-LERY,56,43,6,0,0.0,0.15,marque-repere,41.9,25,0.0,False
fr-56-261-001,GALLIANCE ELABORES,LA VRAIE-CROIX,56,82,16,0,0.0,1.19,pere-dodu,67.1,27,1.0,False
fr-57-032-001,CHARCU-PAC LES PROVINCES,ARS-SUR-MOSELLE,57,170,37,0,0.0,4.0,carrefour,22.4,132,1.0,False
fr-61-096-020,S N V,RIVES D'ANDAINE,61,35,13,3,0.0,0.15,monoprix,17.1,29,0.0,False
fr-61-181-001,LES ELEVEURS DE LA CHARENTONNE,GACE,61,30,2,0,0.0,1.27,inconnue,56.7,13,-3.0,False
fr-62-767-005,HERTA / HERTA SAS,SAINT-POL-SUR-TERNOISE,62,131,3,0,0.0,1.93,herta,72.5,36,0.0,True
fr-62-865-007,FOODIZ CUISINE,VITRY-EN-ARTOIS,62,36,8,0,0.0,0.79,inconnue,27.8,26,-1.0,False
fr-63-427-001,BELL FRANCE - BELL FRANCE TEILHEDE,TEILHEDE,63,58,26,0,0.0,4.6,carrefour,17.2,48,0.0,False
fr-66-172-001,LES GOUTS DU SUD SAS,SAINT-ESTEVE,66,51,4,0,0.0,1.9,inconnue,51.0,25,0.0,False
fr-69-238-010,FRANCE SALAISONS,SAINT-SYMPHORIEN-SUR-COISE,69,69,24,0,0.0,4.3,carrefour,39.1,42,0.0,False
fr-72-054-002,LUISSIER BORDEAU CHESNEL,CHAMPAGNE,72,31,6,0,0.0,1.1,bordeau-chesnel,67.7,10,0.0,False
fr-72-080-002,SOCOPA VIANDES,CHERRE,72,142,33,2,0.0,0.85,socopa,39.4,86,0.0,False
fr-72-175-001,LUCHE TRADITION VOLAILLES,LUCHE-PRINGE,72,53,13,3,0.0,0.57,monoprix,39.6,32,1.0,False
fr-72-331-001,BAHIER / SOC DES RILLETTES BAHIER,SCEAUX-SUR-HUISNE,72,169,29,0,0.0,1.4,bahier,29.6,119,0.0,True
fr-76-400-001,DEFIAL NORMIVAL,LUNERAY,76,45,13,1,0.0,1.6,inconnue,51.1,22,0.5,False
fr-85-051-003,FLEURY MICHON LS,CHANTONNAY,85,116,3,32,0.0,1.8,fleury-michon,94.8,6,,False
fr-85-059-004,BIOPORC LA NATURE LA SAVEUR,LA CHATAIGNERAIE,85,130,16,0,0.0,1.9,bioporc,32.3,88,0.0,False
fr-85-086-001,GALLIANCE FALLERON,FALLERON,85,59,19,1,0.0,1.5,cora,15.3,50,1.0,False
fr-85-140-001,FLEURY MICHON LS,POUZAUGES,85,64,3,0,0.0,1.8,fleury-michon,96.9,2,,False
fr-85-154-002,FLEURY MICHON LS,MOUILLERON-SAINT-GERMAIN,85,148,13,0,0.0,0.76,fleury-michon,79.1,31,0.0,False
