label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
en:french-poultry,6050,0.0,0.0,0.0,44,3.1,non
en:no-artificial-colors,81,0.0,-1.0,1.0,24,7.3,non
fr:lapin-francais,202,0.0,0.0,1.0,9,0.0,non
fr:selection-intermarche,396,0.0,-1.0,0.0,35,0.3,non
en:no-dyes-or-preservatives,62,0.5,-1.0,1.5,16,0.0,non
en:incorrect-nutrition-facts-on-label,36,1.0,0.0,3.5,17,13.9,non
en:kosher,155,1.0,0.0,2.0,36,1.9,non
en:incorrect-data-on-label,38,1.0,-0.5,2.5,18,13.2,non
en:smoked-with-beech-wood,386,1.0,1.0,2.0,23,4.1,oui
fr:concours-general-agricole,87,1.0,0.0,1.0,14,0.0,non
fr:pme-plus,92,1.0,0.0,1.0,20,0.0,non
fr:la-lorraine-notre-signature,80,1.0,1.0,2.0,10,0.0,oui
fr:savourez-l-alsace,98,1.0,0.0,2.0,18,0.0,non
fr:aucun,33,1.0,-1.0,2.0,15,3.0,non
en:nutriscore-grade-e,699,1.0,1.0,2.0,28,0.9,oui
en:nutriscore-grade-d,1082,1.0,0.0,1.0,50,2.5,non
en:pgi,1390,2.0,2.0,2.0,25,0.1,oui
en:halal,1918,2.0,2.0,2.75,49,100.0,oui
en:gold-medal-of-the-german-agricultural-society,31,2.0,-2.0,5.0,13,0.0,non
en:german-agricultural-society,37,2.0,-2.0,5.0,15,0.0,non
en:carbon-footprint,309,2.0,1.0,2.0,14,0.0,oui
fr:artisan,37,2.0,1.0,2.0,13,0.0,oui
fr:a-votre-service,142,2.0,1.0,6.5,25,100.0,oui
en:made-in-italy,344,2.5,1.0,8.0,22,0.3,oui
en:made-in-spain,237,3.0,0.0,8.0,14,2.9,non
fr:association-rituelle-de-la-grande-mosquee-de-lyon,156,4.0,1.5,8.0,30,100.0,oui
fr:controle-de-la-mosquee-d-evry-courcouronnes,214,5.0,3.5,7.0,38,100.0,oui
en:tsg,257,12.0,12.0,12.0,6,0.0,oui
en:pdo,164,14.5,13.0,15.0,21,0.0,oui
